,name,pasType,bufferVal,spacing,minh,distance,tolerance,TruePositives,FalsePositives,FalseNegatives,TrueNegatives
0,2,TE,1,50,5.9401964429016E-07,1,0,7658,6038,869,2489
1,2,IN,1,50,5.9401964429016E-07,1,0,10038,8257,3961,5742
2,2,TE,1,50,1.01653577881272E-06,1,0,7658,6038,869,2489
3,2,IN,1,50,1.01653577881272E-06,1,0,10038,8257,3961,5742
4,2,TE,1,50,1.60930866681816E-06,1,0,7658,6038,869,2489
5,2,IN,1,50,1.60930866681816E-06,1,0,10038,8257,3961,5742
6,2,TE,1,50,2.07791579854369E-06,1,0,7658,6038,869,2489
7,2,IN,1,50,2.07791579854369E-06,1,0,10038,8257,3961,5742
8,2,TE,1,50,2.79033959837797E-06,1,0,7658,6038,869,2489
9,2,IN,1,50,2.79033959837797E-06,1,0,10038,8257,3961,5742
10,2,TE,1,50,3.71708491097636E-06,1,0,7658,6038,869,2489
11,2,IN,1,50,3.71708491097636E-06,1,0,10036,8257,3963,5742
12,2,TE,1,50,4.50595460435467E-06,1,0,7658,6038,869,2489
13,2,IN,1,50,4.50595460435467E-06,1,0,10035,8257,3964,5742
14,2,TE,1,50,8.3219411631684E-06,1,0,7652,6029,875,2498
15,2,IN,1,50,8.3219411631684E-06,1,0,10030,8250,3969,5749
16,2,TE,1,50,1.10189539060863E-05,1,0,7643,6024,884,2503
17,2,IN,1,50,1.10189539060863E-05,1,0,10016,8239,3983,5760
18,2,TE,1,50,1.34023598507481E-05,1,0,7633,6007,894,2520
19,2,IN,1,50,1.34023598507481E-05,1,0,9989,8227,4010,5772
20,2,TE,1,50,1.55044306682279E-05,1,0,7622,5996,905,2531
21,2,IN,1,50,1.55044306682279E-05,1,0,9972,8212,4027,5787
22,2,TE,1,50,1.74710712477528E-05,1,0,7608,5981,919,2546
23,2,IN,1,50,1.74710712477528E-05,1,0,9954,8196,4045,5803
24,2,TE,1,50,1.93668590828671E-05,1,0,7583,5968,944,2559
25,2,IN,1,50,1.93668590828671E-05,1,0,9934,8168,4065,5831
26,2,TE,1,50,2.12282578799769E-05,1,0,7561,5954,966,2573
27,2,IN,1,50,2.12282578799769E-05,1,0,9915,8145,4084,5854
28,2,TE,1,50,2.30797832955432E-05,1,0,7545,5934,982,2593
29,2,IN,1,50,2.30797832955432E-05,1,0,9889,8128,4110,5871
30,2,TE,1,50,2.49376892108038E-05,1,0,7531,5913,996,2614
31,2,IN,1,50,2.49376892108038E-05,1,0,9859,8105,4140,5894
32,2,TE,1,50,2.68150163260749E-05,1,0,7510,5893,1017,2634
33,2,IN,1,50,2.68150163260749E-05,1,0,9823,8077,4176,5922
34,2,TE,1,50,2.87201597183622E-05,1,0,7491,5872,1036,2655
35,2,IN,1,50,2.87201597183622E-05,1,0,9799,8051,4200,5948
36,2,TE,1,50,3.06630362834121E-05,1,0,7471,5850,1056,2677
37,2,IN,1,50,3.06630362834121E-05,1,0,9771,8025,4228,5974
38,2,TE,1,50,3.26514704527524E-05,1,0,7440,5817,1087,2710
39,2,IN,1,50,3.26514704527524E-05,1,0,9751,7995,4248,6004
40,2,TE,1,50,3.46938705011395E-05,1,0,7417,5791,1110,2736
41,2,IN,1,50,3.46938705011395E-05,1,0,9722,7959,4277,6040
42,2,TE,1,50,3.67942413347423E-05,1,0,7388,5765,1139,2762
43,2,IN,1,50,3.67942413347423E-05,1,0,9698,7926,4301,6073
44,2,TE,1,50,3.89615017830839E-05,1,0,7362,5740,1165,2787
45,2,IN,1,50,3.89615017830839E-05,1,0,9667,7888,4332,6111
46,2,TE,1,50,4.12018153236624E-05,1,0,7327,5713,1200,2814
47,2,IN,1,50,4.12018153236624E-05,1,0,9631,7852,4368,6147
48,2,TE,1,50,4.35222704263209E-05,1,0,7309,5690,1218,2837
49,2,IN,1,50,4.35222704263209E-05,1,0,9603,7821,4396,6178
50,2,TE,1,50,4.59306206541746E-05,1,0,7282,5667,1245,2860
51,2,IN,1,50,4.59306206541746E-05,1,0,9571,7783,4428,6216
52,2,TE,1,50,4.84307489109334E-05,1,0,7248,5641,1279,2886
53,2,IN,1,50,4.84307489109334E-05,1,0,9544,7731,4455,6268
