,name,pasType,bufferVal,spacing,minh,distance,tolerance,TruePositives,FalsePositives,FalseNegatives,TrueNegatives
0,13,TE,1,50,5.940196442901604e-07,1,0,2385,1862,273,796
1,13,IN,1,50,5.940196442901604e-07,1,0,3113,2487,1242,1868
2,13,TE,1,50,1.016535778812721e-06,1,0,2385,1862,273,796
3,13,IN,1,50,1.016535778812721e-06,1,0,3113,2487,1242,1868
4,13,TE,1,50,1.6093086668181623e-06,1,0,2385,1862,273,796
5,13,IN,1,50,1.6093086668181623e-06,1,0,3113,2487,1242,1868
6,13,TE,1,50,2.0779157985436884e-06,1,0,2385,1862,273,796
7,13,IN,1,50,2.0779157985436884e-06,1,0,3113,2487,1242,1868
8,13,TE,1,50,2.790339598377975e-06,1,0,2385,1862,273,796
9,13,IN,1,50,2.790339598377975e-06,1,0,3113,2487,1242,1868
10,13,TE,1,50,3.717084910976357e-06,1,0,2385,1862,273,796
11,13,IN,1,50,3.717084910976357e-06,1,0,3113,2486,1242,1869
12,13,TE,1,50,4.505954604354668e-06,1,0,2385,1862,273,796
13,13,IN,1,50,4.505954604354668e-06,1,0,3113,2486,1242,1869
14,13,TE,1,50,8.321941163168395e-06,1,0,2384,1861,274,797
15,13,IN,1,50,8.321941163168395e-06,1,0,3109,2484,1246,1871
16,13,TE,1,50,1.1018953906086284e-05,1,0,2382,1860,276,798
17,13,IN,1,50,1.1018953906086284e-05,1,0,3107,2481,1248,1874
18,13,TE,1,50,1.3402359850748068e-05,1,0,2376,1859,282,799
19,13,IN,1,50,1.3402359850748068e-05,1,0,3099,2474,1256,1881
20,13,TE,1,50,1.55044306682279e-05,1,0,2375,1856,283,802
21,13,IN,1,50,1.55044306682279e-05,1,0,3087,2465,1268,1890
22,13,TE,1,50,1.7471071247752787e-05,1,0,2373,1854,285,804
23,13,IN,1,50,1.7471071247752787e-05,1,0,3079,2459,1276,1896
24,13,TE,1,50,1.9366859082867094e-05,1,0,2370,1850,288,808
25,13,IN,1,50,1.9366859082867094e-05,1,0,3073,2458,1282,1897
26,13,TE,1,50,2.1228257879976858e-05,1,0,2367,1846,291,812
27,13,IN,1,50,2.1228257879976858e-05,1,0,3065,2454,1290,1901
28,13,TE,1,50,2.3079783295543167e-05,1,0,2363,1845,295,813
29,13,IN,1,50,2.3079783295543167e-05,1,0,3062,2452,1293,1903
30,13,TE,1,50,2.4937689210803773e-05,1,0,2356,1839,302,819
31,13,IN,1,50,2.4937689210803773e-05,1,0,3047,2443,1308,1912
32,13,TE,1,50,2.6815016326074932e-05,1,0,2354,1838,304,820
33,13,IN,1,50,2.6815016326074932e-05,1,0,3037,2438,1318,1917
34,13,TE,1,50,2.8720159718362152e-05,1,0,2351,1836,307,822
35,13,IN,1,50,2.8720159718362152e-05,1,0,3028,2434,1327,1921
36,13,TE,1,50,3.066303628341213e-05,1,0,2347,1829,311,829
37,13,IN,1,50,3.066303628341213e-05,1,0,3018,2423,1337,1932
38,13,TE,1,50,3.265147045275237e-05,1,0,2342,1825,316,833
39,13,IN,1,50,3.265147045275237e-05,1,0,3003,2421,1352,1934
40,13,TE,1,50,3.469387050113955e-05,1,0,2339,1820,319,838
41,13,IN,1,50,3.469387050113955e-05,1,0,2989,2405,1366,1950
42,13,TE,1,50,3.679424133474234e-05,1,0,2332,1813,326,845
43,13,IN,1,50,3.679424133474234e-05,1,0,2972,2398,1383,1957
44,13,TE,1,50,3.896150178308387e-05,1,0,2329,1809,329,849
45,13,IN,1,50,3.896150178308387e-05,1,0,2960,2384,1395,1971
46,13,TE,1,50,4.1201815323662365e-05,1,0,2321,1806,337,852
47,13,IN,1,50,4.1201815323662365e-05,1,0,2947,2377,1408,1978
48,13,TE,1,50,4.3522270426320884e-05,1,0,2318,1799,340,859
49,13,IN,1,50,4.3522270426320884e-05,1,0,2935,2365,1420,1990
50,13,TE,1,50,4.5930620654174636e-05,1,0,2314,1790,344,868
51,13,IN,1,50,4.5930620654174636e-05,1,0,2927,2353,1428,2002
52,13,TE,1,50,4.8430748910933426e-05,1,0,2309,1783,349,875
53,13,IN,1,50,4.8430748910933426e-05,1,0,2911,2341,1444,2014
54,13,TE,1,50,5.103157420234897e-05,1,0,2305,1777,353,881
55,13,IN,1,50,5.103157420234897e-05,1,0,2893,2325,1462,2030
56,13,TE,1,50,5.373863956935208e-05,1,0,2293,1771,365,887
57,13,IN,1,50,5.373863956935208e-05,1,0,2884,2308,1471,2047
58,13,TE,1,50,5.6558347537972355e-05,1,0,2287,1765,371,893
59,13,IN,1,50,5.6558347537972355e-05,1,0,2878,2297,1477,2058
60,13,TE,1,50,5.9503553162298034e-05,1,0,2278,1757,380,901
61,13,IN,1,50,5.9503553162298034e-05,1,0,2871,2282,1484,2073
62,13,TE,1,50,6.258088252872146e-05,1,0,2274,1752,384,906
63,13,IN,1,50,6.258088252872146e-05,1,0,2863,2267,1492,2088
64,13,TE,1,50,6.579744633126796e-05,1,0,2266,1741,392,917
65,13,IN,1,50,6.579744633126796e-05,1,0,2851,2249,1504,2106
66,13,TE,1,50,6.916279424208485e-05,1,0,2260,1724,398,934
67,13,IN,1,50,6.916279424208485e-05,1,0,2836,2233,1519,2122
68,13,TE,1,50,7.26826372011691e-05,1,0,2249,1713,409,945
69,13,IN,1,50,7.26826372011691e-05,1,0,2825,2213,1530,2142
70,13,TE,1,50,7.637262516287333e-05,1,0,2241,1696,417,962
71,13,IN,1,50,7.637262516287333e-05,1,0,2814,2196,1541,2159
72,13,TE,1,50,8.02413126351504e-05,1,0,2232,1682,426,976
73,13,IN,1,50,8.02413126351504e-05,1,0,2805,2184,1550,2171
74,13,TE,1,50,8.429298837344815e-05,1,0,2221,1671,437,987
75,13,IN,1,50,8.429298837344815e-05,1,0,2793,2170,1562,2185
76,13,TE,1,50,8.854082809258606e-05,1,0,2212,1657,446,1001
77,13,IN,1,50,8.854082809258606e-05,1,0,2780,2153,1575,2202
78,13,TE,1,50,9.29962951204289e-05,1,0,2205,1651,453,1007
79,13,IN,1,50,9.29962951204289e-05,1,0,2768,2135,1587,2220
80,13,TE,1,50,9.76699825394582e-05,1,0,2198,1634,460,1024
81,13,IN,1,50,9.76699825394582e-05,1,0,2756,2123,1599,2232
82,13,TE,1,50,0.00010257607577622926,1,0,2188,1623,470,1035
83,13,IN,1,50,0.00010257607577622926,1,0,2739,2107,1616,2248
84,13,TE,1,50,0.00010772623633702747,1,0,2179,1610,479,1048
85,13,IN,1,50,0.00010772623633702747,1,0,2725,2077,1630,2278
86,13,TE,1,50,0.00011312761002080568,1,0,2169,1590,489,1068
87,13,IN,1,50,0.00011312761002080568,1,0,2713,2064,1642,2291
88,13,TE,1,50,0.00011879367445999373,1,0,2157,1570,501,1088
89,13,IN,1,50,0.00011879367445999373,1,0,2702,2042,1653,2313
90,13,TE,1,50,0.00012474516769543696,1,0,2151,1556,507,1102
91,13,IN,1,50,0.00012474516769543696,1,0,2685,2016,1670,2339
92,13,TE,1,50,0.00013098843728808054,1,0,2137,1547,521,1111
93,13,IN,1,50,0.00013098843728808054,1,0,2673,1986,1682,2369
94,13,TE,1,50,0.00013754133996373067,1,0,2124,1529,534,1129
95,13,IN,1,50,0.00013754133996373067,1,0,2662,1957,1693,2398
96,13,TE,1,50,0.0001444071882724529,1,0,2110,1508,548,1150
97,13,IN,1,50,0.0001444071882724529,1,0,2641,1931,1714,2424
98,13,TE,1,50,0.00015160583959884986,1,0,2099,1493,559,1165
99,13,IN,1,50,0.00015160583959884986,1,0,2621,1905,1734,2450
100,13,TE,1,50,0.00015916267128997393,1,0,2083,1484,575,1174
101,13,IN,1,50,0.00015916267128997393,1,0,2610,1877,1745,2478
102,13,TE,1,50,0.00016708290049631782,1,0,2071,1467,587,1191
103,13,IN,1,50,0.00016708290049631782,1,0,2599,1846,1756,2509
