,name,pasType,bufferVal,spacing,minh,distance,tolerance,TruePositives,FalsePositives,FalseNegatives,TrueNegatives
0,Y,TE,1,50,5.940196442901604e-07,1,0,87,69,8,26
1,Y,IN,1,50,5.940196442901604e-07,1,0,124,106,60,78
2,Y,TE,1,50,1.016535778812721e-06,1,0,87,69,8,26
3,Y,IN,1,50,1.016535778812721e-06,1,0,124,106,60,78
4,Y,TE,1,50,1.6093086668181623e-06,1,0,87,69,8,26
5,Y,IN,1,50,1.6093086668181623e-06,1,0,124,106,60,78
6,Y,TE,1,50,2.0779157985436884e-06,1,0,87,69,8,26
7,Y,IN,1,50,2.0779157985436884e-06,1,0,124,106,60,78
8,Y,TE,1,50,2.790339598377975e-06,1,0,87,69,8,26
9,Y,IN,1,50,2.790339598377975e-06,1,0,124,106,60,78
10,Y,TE,1,50,3.717084910976357e-06,1,0,87,69,8,26
11,Y,IN,1,50,3.717084910976357e-06,1,0,124,106,60,78
12,Y,TE,1,50,4.505954604354668e-06,1,0,87,69,8,26
13,Y,IN,1,50,4.505954604354668e-06,1,0,124,106,60,78
14,Y,TE,1,50,8.321941163168395e-06,1,0,87,69,8,26
15,Y,IN,1,50,8.321941163168395e-06,1,0,124,106,60,78
16,Y,TE,1,50,1.1018953906086284e-05,1,0,87,69,8,26
17,Y,IN,1,50,1.1018953906086284e-05,1,0,124,106,60,78
18,Y,TE,1,50,1.3402359850748068e-05,1,0,87,69,8,26
19,Y,IN,1,50,1.3402359850748068e-05,1,0,124,106,60,78
20,Y,TE,1,50,1.55044306682279e-05,1,0,87,68,8,27
21,Y,IN,1,50,1.55044306682279e-05,1,0,123,106,61,78
22,Y,TE,1,50,1.7471071247752787e-05,1,0,87,68,8,27
23,Y,IN,1,50,1.7471071247752787e-05,1,0,123,106,61,78
24,Y,TE,1,50,1.9366859082867094e-05,1,0,87,68,8,27
25,Y,IN,1,50,1.9366859082867094e-05,1,0,123,106,61,78
26,Y,TE,1,50,2.1228257879976858e-05,1,0,87,67,8,28
27,Y,IN,1,50,2.1228257879976858e-05,1,0,123,106,61,78
28,Y,TE,1,50,2.3079783295543167e-05,1,0,87,67,8,28
29,Y,IN,1,50,2.3079783295543167e-05,1,0,123,106,61,78
30,Y,TE,1,50,2.4937689210803773e-05,1,0,87,67,8,28
31,Y,IN,1,50,2.4937689210803773e-05,1,0,123,106,61,78
32,Y,TE,1,50,2.6815016326074932e-05,1,0,87,67,8,28
33,Y,IN,1,50,2.6815016326074932e-05,1,0,123,105,61,79
34,Y,TE,1,50,2.8720159718362152e-05,1,0,87,67,8,28
35,Y,IN,1,50,2.8720159718362152e-05,1,0,123,105,61,79
36,Y,TE,1,50,3.066303628341213e-05,1,0,87,67,8,28
37,Y,IN,1,50,3.066303628341213e-05,1,0,123,105,61,79
38,Y,TE,1,50,3.265147045275237e-05,1,0,86,67,9,28
39,Y,IN,1,50,3.265147045275237e-05,1,0,123,105,61,79
40,Y,TE,1,50,3.469387050113955e-05,1,0,86,67,9,28
41,Y,IN,1,50,3.469387050113955e-05,1,0,123,104,61,80
42,Y,TE,1,50,3.679424133474234e-05,1,0,86,67,9,28
43,Y,IN,1,50,3.679424133474234e-05,1,0,123,104,61,80
44,Y,TE,1,50,3.896150178308387e-05,1,0,86,67,9,28
45,Y,IN,1,50,3.896150178308387e-05,1,0,123,104,61,80
46,Y,TE,1,50,4.1201815323662365e-05,1,0,86,66,9,29
47,Y,IN,1,50,4.1201815323662365e-05,1,0,123,101,61,83
48,Y,TE,1,50,4.3522270426320884e-05,1,0,86,66,9,29
49,Y,IN,1,50,4.3522270426320884e-05,1,0,122,100,62,84
50,Y,TE,1,50,4.5930620654174636e-05,1,0,86,66,9,29
51,Y,IN,1,50,4.5930620654174636e-05,1,0,122,99,62,85
52,Y,TE,1,50,4.8430748910933426e-05,1,0,86,66,9,29
53,Y,IN,1,50,4.8430748910933426e-05,1,0,122,98,62,86
54,Y,TE,1,50,5.103157420234897e-05,1,0,86,66,9,29
55,Y,IN,1,50,5.103157420234897e-05,1,0,121,97,63,87
56,Y,TE,1,50,5.373863956935208e-05,1,0,86,66,9,29
57,Y,IN,1,50,5.373863956935208e-05,1,0,121,97,63,87
58,Y,TE,1,50,5.6558347537972355e-05,1,0,85,66,10,29
59,Y,IN,1,50,5.6558347537972355e-05,1,0,119,96,65,88
60,Y,TE,1,50,5.9503553162298034e-05,1,0,85,66,10,29
61,Y,IN,1,50,5.9503553162298034e-05,1,0,118,95,66,89
62,Y,TE,1,50,6.258088252872146e-05,1,0,85,65,10,30
63,Y,IN,1,50,6.258088252872146e-05,1,0,115,94,69,90
64,Y,TE,1,50,6.579744633126796e-05,1,0,85,65,10,30
65,Y,IN,1,50,6.579744633126796e-05,1,0,115,91,69,93
66,Y,TE,1,50,6.916279424208485e-05,1,0,85,64,10,31
67,Y,IN,1,50,6.916279424208485e-05,1,0,115,90,69,94
68,Y,TE,1,50,7.26826372011691e-05,1,0,85,63,10,32
69,Y,IN,1,50,7.26826372011691e-05,1,0,115,89,69,95
70,Y,TE,1,50,7.637262516287333e-05,1,0,85,63,10,32
71,Y,IN,1,50,7.637262516287333e-05,1,0,114,89,70,95
72,Y,TE,1,50,8.02413126351504e-05,1,0,84,62,11,33
73,Y,IN,1,50,8.02413126351504e-05,1,0,114,89,70,95
74,Y,TE,1,50,8.429298837344815e-05,1,0,84,61,11,34
75,Y,IN,1,50,8.429298837344815e-05,1,0,114,88,70,96
76,Y,TE,1,50,8.854082809258606e-05,1,0,84,59,11,36
77,Y,IN,1,50,8.854082809258606e-05,1,0,114,88,70,96
78,Y,TE,1,50,9.29962951204289e-05,1,0,84,57,11,38
79,Y,IN,1,50,9.29962951204289e-05,1,0,114,87,70,97
80,Y,TE,1,50,9.76699825394582e-05,1,0,84,57,11,38
81,Y,IN,1,50,9.76699825394582e-05,1,0,113,86,71,98
82,Y,TE,1,50,0.00010257607577622926,1,0,84,57,11,38
83,Y,IN,1,50,0.00010257607577622926,1,0,113,86,71,98
84,Y,TE,1,50,0.00010772623633702747,1,0,83,56,12,39
85,Y,IN,1,50,0.00010772623633702747,1,0,113,86,71,98
86,Y,TE,1,50,0.00011312761002080568,1,0,82,55,13,40
87,Y,IN,1,50,0.00011312761002080568,1,0,112,86,72,98
88,Y,TE,1,50,0.00011879367445999373,1,0,81,54,14,41
89,Y,IN,1,50,0.00011879367445999373,1,0,111,85,73,99
90,Y,TE,1,50,0.00012474516769543696,1,0,81,54,14,41
91,Y,IN,1,50,0.00012474516769543696,1,0,111,84,73,100
92,Y,TE,1,50,0.00013098843728808054,1,0,81,52,14,43
93,Y,IN,1,50,0.00013098843728808054,1,0,110,84,74,100
94,Y,TE,1,50,0.00013754133996373067,1,0,81,52,14,43
95,Y,IN,1,50,0.00013754133996373067,1,0,109,83,75,101
96,Y,TE,1,50,0.0001444071882724529,1,0,80,52,15,43
97,Y,IN,1,50,0.0001444071882724529,1,0,109,83,75,101
98,Y,TE,1,50,0.00015160583959884986,1,0,80,52,15,43
99,Y,IN,1,50,0.00015160583959884986,1,0,108,82,76,102
100,Y,TE,1,50,0.00015916267128997393,1,0,80,52,15,43
101,Y,IN,1,50,0.00015916267128997393,1,0,107,80,77,104
102,Y,TE,1,50,0.00016708290049631782,1,0,80,52,15,43
103,Y,IN,1,50,0.00016708290049631782,1,0,104,77,80,107
104,Y,TE,1,50,0.00017538682979210748,1,0,80,52,15,43
105,Y,IN,1,50,0.00017538682979210748,1,0,103,76,81,108
106,Y,TE,1,50,0.00018410010542503679,1,0,80,52,15,43
107,Y,IN,1,50,0.00018410010542503679,1,0,103,76,81,108
108,Y,TE,1,50,0.00019322733034771644,1,0,80,52,15,43
109,Y,IN,1,50,0.00019322733034771644,1,0,102,74,82,110
110,Y,TE,1,50,0.00020280518574089453,1,0,79,52,16,43
111,Y,IN,1,50,0.00020280518574089453,1,0,102,74,82,110
112,Y,TE,1,50,0.0002128585827462562,1,0,78,51,17,44
113,Y,IN,1,50,0.0002128585827462562,1,0,98,71,86,113
114,Y,TE,1,50,0.00022340147254313843,1,0,78,50,17,45
115,Y,IN,1,50,0.00022340147254313843,1,0,97,70,87,114
116,Y,TE,1,50,0.00023447614976222352,1,0,76,50,19,45
117,Y,IN,1,50,0.00023447614976222352,1,0,94,69,90,115
118,Y,TE,1,50,0.00024612108265081097,1,0,76,47,19,48
119,Y,IN,1,50,0.00024612108265081097,1,0,94,69,90,115
120,Y,TE,1,50,0.0002583488740638875,1,0,76,45,19,50
121,Y,IN,1,50,0.0002583488740638875,1,0,93,65,91,119
122,Y,TE,1,50,0.00027122801689172,1,0,76,45,19,50
123,Y,IN,1,50,0.00027122801689172,1,0,93,63,91,121
124,Y,TE,1,50,0.0002847942861920343,1,0,76,44,19,51
125,Y,IN,1,50,0.0002847942861920343,1,0,92,59,92,125
126,Y,TE,1,50,0.00029909067699278877,1,0,75,43,20,52
127,Y,IN,1,50,0.00029909067699278877,1,0,92,56,92,128
128,Y,TE,1,50,0.0003141848512753782,1,0,73,42,22,53
129,Y,IN,1,50,0.0003141848512753782,1,0,92,54,92,130
130,Y,TE,1,50,0.0003301293440520337,1,0,71,42,24,53
131,Y,IN,1,50,0.0003301293440520337,1,0,92,54,92,130
132,Y,TE,1,50,0.0003470264148914034,1,0,71,42,24,53
133,Y,IN,1,50,0.0003470264148914034,1,0,92,54,92,130
134,Y,TE,1,50,0.00036493262881032314,1,0,71,41,24,54
135,Y,IN,1,50,0.00036493262881032314,1,0,90,53,94,131
136,Y,TE,1,50,0.0003839462882533796,1,0,70,41,25,54
137,Y,IN,1,50,0.0003839462882533796,1,0,90,52,94,132
138,Y,TE,1,50,0.00040420006948694545,1,0,70,39,25,56
139,Y,IN,1,50,0.00040420006948694545,1,0,90,50,94,134
140,Y,TE,1,50,0.0004257630947297131,1,0,69,38,26,57
141,Y,IN,1,50,0.0004257630947297131,1,0,87,48,97,136
142,Y,TE,1,50,0.00044881428666145777,1,0,67,37,28,58
143,Y,IN,1,50,0.00044881428666145777,1,0,86,46,98,138
144,Y,TE,1,50,0.00047349282959381904,1,0,67,36,28,59
145,Y,IN,1,50,0.00047349282959381904,1,0,86,46,98,138
146,Y,TE,1,50,0.0005000047358169888,1,0,65,34,30,61
147,Y,IN,1,50,0.0005000047358169888,1,0,84,44,100,140
148,Y,TE,1,50,0.0005285515190075534,1,0,65,33,30,62
149,Y,IN,1,50,0.0005285515190075534,1,0,80,43,104,141
150,Y,TE,1,50,0.0005593962305114734,1,0,65,31,30,64
151,Y,IN,1,50,0.0005593962305114734,1,0,79,42,105,142
152,Y,TE,1,50,0.0005928162869010952,1,0,63,31,32,64
153,Y,IN,1,50,0.0005928162869010952,1,0,78,40,106,144
154,Y,TE,1,50,0.0006291721459333007,1,0,63,30,32,65
155,Y,IN,1,50,0.0006291721459333007,1,0,76,38,108,146
156,Y,TE,1,50,0.0006688900828539947,1,0,61,28,34,67
157,Y,IN,1,50,0.0006688900828539947,1,0,76,37,108,147
158,Y,TE,1,50,0.0007124764817035615,1,0,61,28,34,67
159,Y,IN,1,50,0.0007124764817035615,1,0,76,35,108,149
160,Y,TE,1,50,0.0007605943147138664,1,0,60,26,35,69
161,Y,IN,1,50,0.0007605943147138664,1,0,76,32,108,152
162,Y,TE,1,50,0.000813930760983307,1,0,59,26,36,69
163,Y,IN,1,50,0.000813930760983307,1,0,75,29,109,155
164,Y,TE,1,50,0.0008733624931044557,1,0,59,26,36,69
165,Y,IN,1,50,0.0008733624931044557,1,0,73,28,111,156
166,Y,TE,1,50,0.0009401870150351577,1,0,59,25,36,70
167,Y,IN,1,50,0.0009401870150351577,1,0,73,26,111,158
168,Y,TE,1,50,0.0010157830986010812,1,0,59,25,36,70
169,Y,IN,1,50,0.0010157830986010812,1,0,72,24,112,160
170,Y,TE,1,50,0.001101983265510241,1,0,59,23,36,72
171,Y,IN,1,50,0.001101983265510241,1,0,71,23,113,161
172,Y,TE,1,50,0.0012015383620366652,1,0,59,21,36,74
173,Y,IN,1,50,0.0012015383620366652,1,0,66,21,118,163
174,Y,TE,1,50,0.0013176206679799385,1,0,59,21,36,74
175,Y,IN,1,50,0.0013176206679799385,1,0,64,21,120,163
176,Y,TE,1,50,0.0014549556716485755,1,0,58,21,37,74
177,Y,IN,1,50,0.0014549556716485755,1,0,64,20,120,164
178,Y,TE,1,50,0.0016202303371275631,1,0,58,19,37,76
179,Y,IN,1,50,0.0016202303371275631,1,0,63,18,121,166
