,seqName,start,end,clusterID,strand,type,side
0,X,277019,277027,X:276927:+_RightNegative,+,IN,Right
1,X,279048,279054,X:278953:-_RightNegative,-,AI,Right
2,X,279087,279122,X:279203:-_LeftNegative,-,AI,Left
3,X,279339,279340,X:279240:-_RightNegative,-,AI,Right
4,X,279696,279697,X:279797:-_LeftNegative,-,AI,Left
5,X,282792,282793,X:282693:+_RightNegative,+,IN,Right
6,X,283212,283221,X:283115:-_RightNegative,-,AI,Right
7,X,287991,287999,X:287896:-_RightNegative,-,AI,Right
8,X,293414,293439,X:293325:+_RightNegative,+,IN,Right
9,X,293566,293604,X:293484:+_RightNegative,+,IN,Right
10,X,294058,294059,X:293959:-_RightNegative,-,AI,Right
11,X,296356,296385,X:296485:+_LeftNegative,+,IN,Left
12,X,296811,296812,X:296712:+_RightNegative,+,IN,Right
13,X,299327,299350,X:299442:+_LeftNegative,+,TE,Left
14,X,299709,299729,X:299623:+_RightNegative,+,TE,Right
15,X,299805,299806,X:299906:+_LeftNegative,+,TE,Left
16,X,300833,300834,X:300734:+_RightNegative,+,TE,Right
17,X,303132,303136,X:303233:+_LeftNegative,+,TE,Left
18,X,303224,303283,X:303353:-_LeftNegative,-,AE,Left
19,X,303440,303472,X:303372:+_RightNegative,+,TE,Right
20,X,304640,304685,X:304760:-_LeftNegative,-,TE,Left
21,X,306453,306460,X:306558:-_LeftNegative,-,IN,Left
22,X,307117,307134,X:307033:-_RightNegative,-,IN,Right
23,X,308192,308212,X:308312:+_LeftNegative,+,AI,Left
24,X,308460,308488,X:308367:+_RightNegative,+,AI,Right
25,X,312020,312021,X:311921:-_RightNegative,-,IN,Right
26,X,313777,313781,X:313881:+_LeftNegative,+,AI,Left
27,X,315772,315783,X:315683:+_RightNegative,+,AI,Right
28,X,317609,317627,X:317519:+_RightNegative,+,AI,Right
29,X,323056,323057,X:323157:+_LeftNegative,+,IG,Left
30,X,325042,325043,X:325143:+_LeftNegative,+,IG,Left
31,X,327073,327100,X:326998:+_RightNegative,+,IG,Right
32,X,327091,327110,X:326996:-_RightNegative,-,IG,Right
33,X,327297,327320,X:327398:-_LeftNegative,-,IG,Left
34,X,327535,327538,X:327436:-_RightNegative,-,IG,Right
35,X,329780,329788,X:329888:-_LeftNegative,-,IG,Left
36,X,334033,334080,X:333956:-_RightNegative,-,TE,Right
37,X,334120,334164,X:334239:-_LeftNegative,-,TE,Left
38,X,334347,334390,X:334274:+_RightNegative,+,AE,Right
39,X,344741,344743,X:344842:-_LeftNegative,-,IN,Left
40,X,344983,345012,X:344909:-_RightNegative,-,TE,Right
41,X,345560,345561,X:345661:-_LeftNegative,-,TE,Left
42,X,348903,348906,X:349005:-_LeftNegative,-,IN,Left
43,X,349172,349175,X:349073:-_RightNegative,-,IN,Right
44,X,352128,352129,X:352229:+_LeftNegative,+,AI,Left
45,X,359673,359686,X:359574:+_RightNegative,+,AI,Right
46,X,368865,368868,X:368967:-_LeftNegative,-,IN,Left
47,X,372842,372864,X:372960:+_LeftNegative,+,AI,Left
48,X,374654,374655,X:374755:+_LeftNegative,+,AI,Left
49,X,384372,384381,X:384279:-_RightNegative,-,IN,Right
50,X,388118,388119,X:388219:-_LeftNegative,-,TE,Left
51,X,406283,406285,X:406385:+_LeftNegative,+,DS,Left
52,X,406529,406550,X:406430:+_RightNegative,+,DS,Right
53,X,412434,412457,X:412346:+_RightNegative,+,IG,Right
54,X,415323,415326,X:415425:+_LeftNegative,+,IG,Left
55,X,416396,416407,X:416503:+_LeftNegative,+,IG,Left
56,X,422079,422082,X:421982:+_RightNegative,+,TE,Right
57,X,433271,433272,X:433172:-_RightNegative,-,IG,Right
58,X,434457,434466,X:434558:-_LeftNegative,-,IG,Left
59,X,443292,443298,X:443398:+_LeftNegative,+,IG,Left
60,X,446163,446188,X:446286:+_LeftNegative,+,IG,Left
61,X,453192,453193,X:453293:-_LeftNegative,-,IG,Left
62,X,453791,453804,X:453703:+_RightNegative,+,IG,Right
63,X,453842,453850,X:453950:+_LeftNegative,+,IG,Left
64,X,472340,472348,X:472248:+_RightNegative,+,IG,Right
65,X,497594,497597,X:497696:+_LeftNegative,+,IG,Left
66,X,504540,504541,X:504441:-_RightNegative,-,IG,Right
67,X,504932,504934,X:504834:+_RightNegative,+,IG,Right
68,X,506879,506880,X:506980:+_LeftNegative,+,IG,Left
69,X,507111,507114,X:507014:+_RightNegative,+,IG,Right
70,X,523153,523154,X:523254:-_LeftNegative,-,DS,Left
71,X,545055,545072,X:545170:-_LeftNegative,-,DS,Left
72,X,546276,546281,X:546381:+_LeftNegative,+,IG,Left
73,X,553324,553327,X:553425:-_LeftNegative,-,IG,Left
74,X,594326,594334,X:594434:+_LeftNegative,+,IG,Left
75,X,594822,594830,X:594730:+_RightNegative,+,IG,Right
76,X,594833,594834,X:594734:-_RightNegative,-,IG,Right
77,X,606037,606039,X:605939:+_RightNegative,+,IG,Right
78,X,606817,606818,X:606918:-_LeftNegative,-,IG,Left
79,X,636472,636490,X:636373:-_RightNegative,-,AI,Right
80,X,644888,644891,X:644989:-_LeftNegative,-,AE,Left
81,X,651680,651683,X:651582:+_RightNegative,+,IN,Right
82,X,652227,652228,X:652328:-_LeftNegative,-,AI,Left
83,X,688478,688479,X:688379:-_RightNegative,-,IG,Right
84,X,695708,695709,X:695609:-_RightNegative,-,IG,Right
85,X,723246,723260,X:723147:-_RightNegative,-,IG,Right
86,X,726797,726817,X:726898:-_LeftNegative,-,IG,Left
87,X,726974,726978,X:727077:+_LeftNegative,+,IG,Left
88,X,744504,744513,X:744413:+_RightNegative,+,IG,Right
89,X,764970,764971,X:765071:-_LeftNegative,-,IG,Left
90,X,766650,766652,X:766752:-_LeftNegative,-,IG,Left
91,X,775077,775078,X:774978:-_RightNegative,-,IG,Right
92,X,784000,784001,X:783901:-_RightNegative,-,IG,Right
93,X,817253,817254,X:817154:-_RightNegative,-,IG,Right
94,X,842526,842527,X:842627:+_LeftNegative,+,IG,Left
95,X,856992,856993,X:856893:+_RightNegative,+,IG,Right
96,X,857683,857684,X:857784:+_LeftNegative,+,IG,Left
97,X,860948,860949,X:860849:-_RightNegative,-,IG,Right
98,X,875523,875525,X:875425:+_RightNegative,+,IG,Right
99,X,879093,879096,X:878996:+_RightNegative,+,IG,Right
100,X,887375,887376,X:887476:-_LeftNegative,-,IG,Left
101,X,887769,887770,X:887870:-_LeftNegative,-,IG,Left
102,X,902024,902026,X:901925:+_RightNegative,+,IG,Right
103,X,904126,904127,X:904027:-_RightNegative,-,IG,Right
104,X,911811,911812,X:911912:-_LeftNegative,-,IG,Left
105,X,912271,912272,X:912172:-_RightNegative,-,IG,Right
106,X,934552,934556,X:934454:+_RightNegative,+,IG,Right
107,X,952029,952030,X:951930:-_RightNegative,-,IG,Right
108,X,959922,959923,X:960023:+_LeftNegative,+,IG,Left
109,X,963958,963959,X:963859:-_RightNegative,-,IG,Right
110,X,969276,969277,X:969377:-_LeftNegative,-,IG,Left
111,X,989953,989957,X:989854:-_RightNegative,-,AU,Right
112,X,991324,991325,X:991225:+_RightNegative,+,IN,Right
113,X,991470,991485,X:991585:+_LeftNegative,+,IN,Left
