,seqName,start,end,clusterID,strand,type,side
0,Y,2786930,2786932,Y:2786856:-_RightNegative,-,TE,Right
1,Y,2808448,2808449,Y:2808524:-_LeftNegative,-,IG,Left
2,Y,2833865,2833866,Y:2833791:-_RightNegative,-,IN,Right
3,Y,2835007,2835009,Y:2834933:-_RightNegative,-,IN,Right
4,Y,2844241,2844251,Y:2844176:+_RightNegative,+,EX,Right
5,Y,2845066,2845067,Y:2845142:-_LeftNegative,-,AI,Left
6,Y,2854533,2854536,Y:2854610:+_LeftNegative,+,EX,Left
7,Y,2865067,2865079,Y:2865150:+_LeftNegative,+,EX,Left
8,Y,2865387,2865391,Y:2865316:+_RightNegative,+,IN,Right
9,Y,2866740,2866773,Y:2866824:+_LeftNegative,+,TE,Left
10,Y,2866963,2867008,Y:2866913:-_RightNegative,-,AE,Right
11,Y,2867240,2867242,Y:2867167:+_RightNegative,+,TE,Right
12,Y,2867334,2867347,Y:2867265:+_RightNegative,+,TE,Right
13,Y,2879686,2879687,Y:2879762:-_LeftNegative,-,AI,Left
14,Y,2880917,2880921,Y:2880844:+_RightNegative,+,IN,Right
15,Y,2912151,2912152,Y:2912077:-_RightNegative,-,AI,Right
16,Y,2921806,2921807,Y:2921882:-_LeftNegative,-,AI,Left
17,Y,2925170,2925171,Y:2925096:+_RightNegative,+,IN,Right
18,Y,2934334,2934343,Y:2934411:-_LeftNegative,-,TE,Left
19,Y,2934586,2934624,Y:2934525:-_RightNegative,-,TE,Right
20,Y,2954827,2954828,Y:2954753:+_RightNegative,+,IN,Right
21,Y,2962829,2962841,Y:2962758:+_RightNegative,+,IN,Right
22,Y,2962832,2962838,Y:2962908:+_LeftNegative,+,IN,Left
23,Y,2963889,2963892,Y:2963966:+_LeftNegative,+,IN,Left
24,Y,2966123,2966125,Y:2966049:-_RightNegative,-,DS,Right
25,Y,2966483,2966484,Y:2966559:+_LeftNegative,+,IN,Left
26,Y,2966485,2966510,Y:2966580:-_LeftNegative,-,DS,Left
27,Y,2966773,2966775,Y:2966850:-_LeftNegative,-,TE,Left
28,Y,2970312,2970314,Y:2970239:+_RightNegative,+,IN,Right
29,Y,2970494,2970495,Y:2970570:-_LeftNegative,-,IN,Left
30,Y,2973886,2973887,Y:2973962:-_LeftNegative,-,IN,Left
31,Y,2977295,2977296,Y:2977221:-_RightNegative,-,IN,Right
32,Y,2979182,2979184,Y:2979108:+_RightNegative,+,TE,Right
33,Y,2980310,2980318,Y:2980243:+_RightNegative,+,TE,Right
34,Y,2982532,2982539,Y:2982458:-_RightNegative,-,IN,Right
