,seqName,start,end,clusterID,strand,type,side
0,6,103226.0,103227.0,6:103277:+_LeftNegative,+,IG,Left
0,6,103326.0,103327.0,6:103277:+_RightNegative,+,IG,Right
0,6,130663.0,130664.0,6:130714:-_LeftNegative,-,IG,Left
0,6,130763.0,130764.0,6:130714:-_RightNegative,-,IG,Right
0,6,136488.0,136489.0,6:136539:-_LeftNegative,-,IN,Left
0,6,136588.0,136589.0,6:136539:-_RightNegative,-,IN,Right
0,6,149171.0,149172.0,6:149222:-_LeftNegative,-,IG,Left
0,6,149271.0,149272.0,6:149222:-_RightNegative,-,IG,Right
0,6,163039.0,163040.0,6:163090:+_LeftNegative,+,IG,Left
0,6,163139.0,163140.0,6:163090:+_RightNegative,+,IG,Right
0,6,185232.0,185260.0,6:185308:+_LeftNegative,+,TE,Left
0,6,185332.0,185360.0,6:185308:+_RightNegative,+,TE,Right
0,6,187656.0,187657.0,6:187707:-_LeftNegative,-,TE,Left
0,6,187756.0,187757.0,6:187707:-_RightNegative,-,TE,Right
0,6,187688.0,187697.0,6:187745:+_LeftNegative,+,DS,Left
0,6,187788.0,187797.0,6:187745:+_RightNegative,+,DS,Right
0,6,193961.0,193962.0,6:194012:-_LeftNegative,-,IN,Left
0,6,194061.0,194062.0,6:194012:-_RightNegative,-,IN,Right
0,6,220116.0,220136.0,6:220167:-_LeftNegative,-,IG,Left
0,6,220216.0,220236.0,6:220167:-_RightNegative,-,IG,Right
0,6,237082.0,237091.0,6:237133:+_LeftNegative,+,IG,Left
0,6,237220.0,237232.0,6:237182:+_RightNegative,+,IG,Right
0,6,259893.0,259894.0,6:259944:-_LeftNegative,-,IG,Left
0,6,259993.0,259994.0,6:259944:-_RightNegative,-,IG,Right
0,6,260066.0,260075.0,6:260117:-_LeftNegative,-,IG,Left
0,6,260166.0,260175.0,6:260117:-_RightNegative,-,IG,Right
0,6,265969.0,265970.0,6:266020:-_LeftNegative,-,IG,Left
0,6,266069.0,266070.0,6:266020:-_RightNegative,-,IG,Right
0,6,275476.0,275485.0,6:275529:-_LeftNegative,-,IG,Left
0,6,275576.0,275585.0,6:275529:-_RightNegative,-,IG,Right
0,6,275670.0,275685.0,6:275721:-_LeftNegative,-,IG,Left
0,6,275770.0,275785.0,6:275721:-_RightNegative,-,IG,Right
0,6,276367.0,276390.0,6:276418:-_LeftNegative,-,IG,Left
0,6,276467.0,276490.0,6:276418:-_RightNegative,-,IG,Right
0,6,285347.0,285359.0,6:285401:-_LeftNegative,-,IG,Left
0,6,285447.0,285459.0,6:285401:-_RightNegative,-,IG,Right
0,6,286621.0,286634.0,6:286674:-_LeftNegative,-,IG,Left
0,6,286721.0,286734.0,6:286674:-_RightNegative,-,IG,Right
0,6,291356.0,291370.0,6:291407:-_LeftNegative,-,AU,Left
0,6,291540.0,291563.0,6:291508:-_RightNegative,-,AU,Right
0,6,293907.0,293913.0,6:293958:+_LeftNegative,+,IN,Left
0,6,294007.0,294013.0,6:293958:+_RightNegative,+,IN,Right
0,6,294168.0,294169.0,6:294219:+_LeftNegative,+,IN,Left
0,6,294268.0,294269.0,6:294219:+_RightNegative,+,IN,Right
0,6,330144.0,330148.0,6:330198:-_LeftNegative,-,AI,Left
0,6,330244.0,330248.0,6:330198:-_RightNegative,-,AI,Right
0,6,348766.0,348778.0,6:348828:+_LeftNegative,+,TE,Left
0,6,348866.0,348878.0,6:348828:+_RightNegative,+,TE,Right
0,6,348897.0,348908.0,6:348949:+_LeftNegative,+,TE,Left
0,6,348997.0,349008.0,6:348949:+_RightNegative,+,TE,Right
0,6,350011.0,350012.0,6:350062:+_LeftNegative,+,TE,Left
0,6,350111.0,350112.0,6:350062:+_RightNegative,+,TE,Right
0,6,350581.0,350628.0,6:350669:-_LeftNegative,-,AE,Left
0,6,350741.0,350742.0,6:350692:-_RightNegative,-,AE,Right
0,6,350891.0,350908.0,6:350958:+_LeftNegative,+,TE,Left
0,6,351041.0,351096.0,6:351019:+_RightNegative,+,TE,Right
0,6,351242.0,351246.0,6:351293:-_LeftNegative,-,AE,Left
0,6,351365.0,351376.0,6:351318:-_RightNegative,-,AE,Right
0,6,351273.0,351311.0,6:351353:+_LeftNegative,+,TE,Left
0,6,351373.0,351411.0,6:351353:+_RightNegative,+,TE,Right
0,6,360080.0,360101.0,6:360132:-_LeftNegative,-,IG,Left
0,6,360180.0,360201.0,6:360132:-_RightNegative,-,IG,Right
0,6,369323.0,369330.0,6:369379:+_LeftNegative,+,IG,Left
0,6,369423.0,369430.0,6:369379:+_RightNegative,+,IG,Right
0,6,377471.0,377479.0,6:377529:-_LeftNegative,-,IG,Left
0,6,377571.0,377579.0,6:377529:-_RightNegative,-,IG,Right
0,6,383571.0,383577.0,6:383627:+_LeftNegative,+,IG,Left
0,6,383671.0,383677.0,6:383627:+_RightNegative,+,IG,Right
0,6,390098.0,390101.0,6:390149:-_LeftNegative,-,IG,Left
0,6,390198.0,390201.0,6:390149:-_RightNegative,-,IG,Right
0,6,390524.0,390527.0,6:390577:-_LeftNegative,-,IG,Left
0,6,390624.0,390627.0,6:390577:-_RightNegative,-,IG,Right
0,6,399949.0,399954.0,6:400003:+_LeftNegative,+,IN,Left
0,6,400049.0,400054.0,6:400003:+_RightNegative,+,IN,Right
0,6,400568.0,400569.0,6:400619:+_LeftNegative,+,IN,Left
0,6,400668.0,400669.0,6:400619:+_RightNegative,+,IN,Right
0,6,402563.0,402606.0,6:402624:+_LeftNegative,+,IN,Left
0,6,402663.0,402706.0,6:402624:+_RightNegative,+,IN,Right
0,6,403920.0,403921.0,6:403971:+_LeftNegative,+,IN,Left
0,6,404020.0,404021.0,6:403971:+_RightNegative,+,IN,Right
0,6,407996.0,408021.0,6:408047:+_LeftNegative,+,TE,Left
0,6,408096.0,408121.0,6:408047:+_RightNegative,+,TE,Right
0,6,408569.0,408592.0,6:408635:+_LeftNegative,+,TE,Left
0,6,408669.0,408692.0,6:408635:+_RightNegative,+,TE,Right
0,6,408847.0,408867.0,6:408904:+_LeftNegative,+,TE,Left
0,6,408947.0,408967.0,6:408904:+_RightNegative,+,TE,Right
0,6,409267.0,409268.0,6:409318:+_LeftNegative,+,TE,Left
0,6,409500.0,409524.0,6:409474:+_RightNegative,+,TE,Right
0,6,410701.0,410702.0,6:410752:-_LeftNegative,-,AE,Left
0,6,410801.0,410802.0,6:410752:-_RightNegative,-,AE,Right
0,6,410974.0,410978.0,6:411028:+_LeftNegative,+,TE,Left
0,6,411074.0,411078.0,6:411028:+_RightNegative,+,TE,Right
0,6,411327.0,411358.0,6:411378:-_LeftNegative,-,AE,Left
0,6,411459.0,411499.0,6:411439:+_RightNegative,+,TE,Right
0,6,411467.0,411472.0,6:411422:-_RightNegative,-,AE,Right
0,6,423059.0,423060.0,6:423110:+_LeftNegative,+,IG,Left
0,6,423159.0,423160.0,6:423110:+_RightNegative,+,IG,Right
0,6,425463.0,425466.0,6:425515:-_LeftNegative,-,IG,Left
0,6,425563.0,425566.0,6:425515:-_RightNegative,-,IG,Right
0,6,433842.0,433843.0,6:433893:+_LeftNegative,+,IG,Left
0,6,433942.0,433943.0,6:433893:+_RightNegative,+,IG,Right
0,6,438482.0,438483.0,6:438533:+_LeftNegative,+,IG,Left
0,6,438582.0,438583.0,6:438533:+_RightNegative,+,IG,Right
0,6,458674.0,458675.0,6:458725:-_LeftNegative,-,IG,Left
0,6,458774.0,458775.0,6:458725:-_RightNegative,-,IG,Right
0,6,472048.0,472049.0,6:472099:+_LeftNegative,+,IG,Left
0,6,472148.0,472149.0,6:472099:+_RightNegative,+,IG,Right
0,6,477376.0,477377.0,6:477427:-_LeftNegative,-,IG,Left
0,6,477476.0,477477.0,6:477427:-_RightNegative,-,IG,Right
0,6,477817.0,477819.0,6:477868:+_LeftNegative,+,IG,Left
0,6,477917.0,477919.0,6:477868:+_RightNegative,+,IG,Right
0,6,483516.0,483522.0,6:483570:-_LeftNegative,-,IG,Left
0,6,483616.0,483622.0,6:483570:-_RightNegative,-,IG,Right
0,6,485081.0,485132.0,6:485156:-_LeftNegative,-,TE,Left
0,6,485282.0,485283.0,6:485233:-_RightNegative,-,TE,Right
0,6,485319.0,485321.0,6:485370:-_LeftNegative,-,TE,Left
0,6,485419.0,485421.0,6:485370:-_RightNegative,-,TE,Right
0,6,486037.0,486077.0,6:486088:-_LeftNegative,-,TE,Left
0,6,486195.0,486216.0,6:486160:-_RightNegative,-,TE,Right
0,6,486463.0,486468.0,6:486514:-_LeftNegative,-,TE,Left
0,6,486601.0,486635.0,6:486569:-_RightNegative,-,TE,Right
0,6,493090.0,493107.0,6:493149:-_LeftNegative,-,IN,Left
0,6,493190.0,493207.0,6:493149:-_RightNegative,-,IN,Right
