,seqName,start,end,clusterID,strand,type,side
0,X,276869,276877,X:276927:+_LeftNegative,+,IN,Left
1,X,276969,276977,X:276927:+_RightNegative,+,IN,Right
2,X,278898,278904,X:278953:-_LeftNegative,-,AI,Left
3,X,278998,279004,X:278953:-_RightNegative,-,AI,Right
4,X,279137,279172,X:279203:-_LeftNegative,-,AI,Left
5,X,279289,279290,X:279240:-_RightNegative,-,AI,Right
6,X,279746,279747,X:279797:-_LeftNegative,-,AI,Left
7,X,279846,279847,X:279797:-_RightNegative,-,AI,Right
8,X,282642,282643,X:282693:+_LeftNegative,+,IN,Left
9,X,282742,282743,X:282693:+_RightNegative,+,IN,Right
10,X,283062,283071,X:283115:-_LeftNegative,-,AI,Left
11,X,283162,283171,X:283115:-_RightNegative,-,AI,Right
12,X,287841,287849,X:287896:-_LeftNegative,-,AI,Left
13,X,287941,287949,X:287896:-_RightNegative,-,AI,Right
14,X,293264,293289,X:293325:+_LeftNegative,+,IN,Left
15,X,293364,293389,X:293325:+_RightNegative,+,IN,Right
16,X,293416,293454,X:293484:+_LeftNegative,+,IN,Left
17,X,293516,293554,X:293484:+_RightNegative,+,IN,Right
18,X,293908,293909,X:293959:-_LeftNegative,-,AI,Left
19,X,294008,294009,X:293959:-_RightNegative,-,AI,Right
20,X,296406,296435,X:296485:+_LeftNegative,+,IN,Left
21,X,296506,296535,X:296485:+_RightNegative,+,IN,Right
22,X,296661,296662,X:296712:+_LeftNegative,+,IN,Left
23,X,296761,296762,X:296712:+_RightNegative,+,IN,Right
24,X,299377,299400,X:299442:+_LeftNegative,+,TE,Left
25,X,299516,299542,X:299485:+_RightNegative,+,TE,Right
26,X,299559,299579,X:299623:+_LeftNegative,+,TE,Left
27,X,299659,299679,X:299623:+_RightNegative,+,TE,Right
28,X,299855,299856,X:299906:+_LeftNegative,+,TE,Left
29,X,299955,299956,X:299906:+_RightNegative,+,TE,Right
30,X,300683,300684,X:300734:+_LeftNegative,+,TE,Left
31,X,300783,300784,X:300734:+_RightNegative,+,TE,Right
32,X,303182,303186,X:303233:+_LeftNegative,+,TE,Left
33,X,303282,303286,X:303233:+_RightNegative,+,TE,Right
34,X,303274,303333,X:303353:-_LeftNegative,-,AE,Left
35,X,303374,303433,X:303353:-_RightNegative,-,AE,Right
36,X,303390,303422,X:303372:+_RightNegative,+,TE,Right
37,X,304690,304735,X:304760:-_LeftNegative,-,TE,Left
38,X,304790,304835,X:304760:-_RightNegative,-,TE,Right
39,X,306503,306510,X:306558:-_LeftNegative,-,IN,Left
40,X,306603,306610,X:306558:-_RightNegative,-,IN,Right
41,X,306967,306984,X:307033:-_LeftNegative,-,IN,Left
42,X,307067,307084,X:307033:-_RightNegative,-,IN,Right
43,X,308242,308262,X:308312:+_LeftNegative,+,AI,Left
44,X,308410,308438,X:308367:+_RightNegative,+,AI,Right
45,X,311870,311871,X:311921:-_LeftNegative,-,IN,Left
46,X,311970,311971,X:311921:-_RightNegative,-,IN,Right
47,X,313827,313831,X:313881:+_LeftNegative,+,AI,Left
48,X,313927,313931,X:313881:+_RightNegative,+,AI,Right
49,X,315622,315633,X:315683:+_LeftNegative,+,AI,Left
50,X,315722,315733,X:315683:+_RightNegative,+,AI,Right
51,X,317459,317477,X:317519:+_LeftNegative,+,AI,Left
52,X,317559,317577,X:317519:+_RightNegative,+,AI,Right
53,X,323106,323107,X:323157:+_LeftNegative,+,IG,Left
54,X,323206,323207,X:323157:+_RightNegative,+,IG,Right
55,X,325092,325093,X:325143:+_LeftNegative,+,IG,Left
56,X,325192,325193,X:325143:+_RightNegative,+,IG,Right
57,X,326923,326950,X:326998:+_LeftNegative,+,IG,Left
58,X,327023,327050,X:326998:+_RightNegative,+,IG,Right
59,X,326941,326960,X:326996:-_LeftNegative,-,IG,Left
60,X,327041,327060,X:326996:-_RightNegative,-,IG,Right
61,X,327347,327370,X:327398:-_LeftNegative,-,IG,Left
62,X,327485,327488,X:327436:-_RightNegative,-,IG,Right
63,X,329830,329838,X:329888:-_LeftNegative,-,IG,Left
64,X,329930,329938,X:329888:-_RightNegative,-,IG,Right
65,X,333883,333930,X:333956:-_LeftNegative,-,TE,Left
66,X,333983,334030,X:333956:-_RightNegative,-,TE,Right
67,X,334170,334214,X:334239:-_LeftNegative,-,TE,Left
68,X,334270,334314,X:334239:-_RightNegative,-,TE,Right
69,X,334197,334240,X:334274:+_LeftNegative,+,AE,Left
70,X,334297,334340,X:334274:+_RightNegative,+,AE,Right
71,X,344791,344793,X:344842:-_LeftNegative,-,IN,Left
72,X,344933,344962,X:344909:-_RightNegative,-,TE,Right
73,X,345610,345611,X:345661:-_LeftNegative,-,TE,Left
74,X,345710,345711,X:345661:-_RightNegative,-,TE,Right
75,X,348953,348956,X:349005:-_LeftNegative,-,IN,Left
76,X,349053,349056,X:349005:-_RightNegative,-,IN,Right
77,X,349022,349025,X:349073:-_LeftNegative,-,IN,Left
78,X,349122,349125,X:349073:-_RightNegative,-,IN,Right
79,X,352178,352179,X:352229:+_LeftNegative,+,AI,Left
80,X,352278,352279,X:352229:+_RightNegative,+,AI,Right
81,X,359523,359536,X:359574:+_LeftNegative,+,AI,Left
82,X,359623,359636,X:359574:+_RightNegative,+,AI,Right
83,X,368915,368918,X:368967:-_LeftNegative,-,IN,Left
84,X,369015,369018,X:368967:-_RightNegative,-,IN,Right
85,X,372892,372914,X:372960:+_LeftNegative,+,AI,Left
86,X,372992,373014,X:372960:+_RightNegative,+,AI,Right
87,X,374704,374705,X:374755:+_LeftNegative,+,AI,Left
88,X,374804,374805,X:374755:+_RightNegative,+,AI,Right
89,X,384222,384231,X:384279:-_LeftNegative,-,IN,Left
90,X,384322,384331,X:384279:-_RightNegative,-,IN,Right
91,X,388168,388169,X:388219:-_LeftNegative,-,TE,Left
92,X,388268,388269,X:388219:-_RightNegative,-,TE,Right
93,X,406333,406335,X:406385:+_LeftNegative,+,DS,Left
94,X,406479,406500,X:406430:+_RightNegative,+,DS,Right
95,X,412284,412307,X:412346:+_LeftNegative,+,IG,Left
96,X,412384,412407,X:412346:+_RightNegative,+,IG,Right
97,X,415373,415376,X:415425:+_LeftNegative,+,IG,Left
98,X,415473,415476,X:415425:+_RightNegative,+,IG,Right
99,X,416446,416457,X:416503:+_LeftNegative,+,IG,Left
100,X,416546,416557,X:416503:+_RightNegative,+,IG,Right
101,X,421929,421932,X:421982:+_LeftNegative,+,TE,Left
102,X,422029,422032,X:421982:+_RightNegative,+,TE,Right
103,X,433121,433122,X:433172:-_LeftNegative,-,IG,Left
104,X,433221,433222,X:433172:-_RightNegative,-,IG,Right
105,X,434507,434516,X:434558:-_LeftNegative,-,IG,Left
106,X,434607,434616,X:434558:-_RightNegative,-,IG,Right
107,X,443342,443348,X:443398:+_LeftNegative,+,IG,Left
108,X,443442,443448,X:443398:+_RightNegative,+,IG,Right
109,X,446213,446238,X:446286:+_LeftNegative,+,IG,Left
