,seqName,start,end,clusterID,strand,type,side
0,21,5089087,5089088,21:5089138:-_LeftNegative,-,IN,Left
1,21,5089187,5089188,21:5089138:-_RightNegative,-,IN,Right
2,21,5104307,5104315,21:5104358:-_LeftNegative,-,IN,Left
3,21,5104407,5104415,21:5104358:-_RightNegative,-,IN,Right
4,21,5125678,5125694,21:5125743:-_LeftNegative,-,IN,Left
5,21,5125778,5125794,21:5125743:-_RightNegative,-,IN,Right
6,21,5161924,5161937,21:5161975:-_LeftNegative,-,IN,Left
7,21,5162024,5162037,21:5161975:-_RightNegative,-,IN,Right
8,21,5233285,5233291,21:5233336:-_LeftNegative,-,IN,Left
9,21,5233385,5233391,21:5233336:-_RightNegative,-,IN,Right
10,21,5233585,5233592,21:5233636:-_LeftNegative,-,IN,Left
11,21,5233685,5233692,21:5233636:-_RightNegative,-,IN,Right
12,21,5234141,5234142,21:5234192:-_LeftNegative,-,IN,Left
13,21,5234241,5234242,21:5234192:-_RightNegative,-,IN,Right
14,21,5240637,5240638,21:5240688:-_LeftNegative,-,IN,Left
15,21,5240786,5240787,21:5240737:-_RightNegative,-,IN,Right
16,21,5242841,5242843,21:5242892:-_LeftNegative,-,IN,Left
17,21,5242941,5242943,21:5242892:-_RightNegative,-,IN,Right
18,21,5243190,5243191,21:5243241:-_LeftNegative,-,IN,Left
19,21,5243290,5243291,21:5243241:-_RightNegative,-,IN,Right
20,21,6329901,6329905,21:6329953:+_LeftNegative,+,IN,Left
21,21,6330001,6330005,21:6329953:+_RightNegative,+,IN,Right
22,21,6486427,6486428,21:6486478:-_LeftNegative,-,IN,Left
23,21,6486527,6486528,21:6486478:-_RightNegative,-,IN,Right
24,21,6654758,6654768,21:6654809:-_LeftNegative,-,IN,Left
25,21,6654858,6654868,21:6654809:-_RightNegative,-,IN,Right
26,21,8420143,8420159,21:8420198:+_LeftNegative,+,IN,Left
27,21,8420243,8420259,21:8420198:+_RightNegative,+,IN,Right
28,21,8777755,8777756,21:8777806:-_LeftNegative,-,IN,Left
29,21,8777855,8777856,21:8777806:-_RightNegative,-,IN,Right
30,21,8787280,8787281,21:8787331:-_LeftNegative,-,IN,Left
31,21,8787380,8787381,21:8787331:-_RightNegative,-,IN,Right
32,21,8832680,8832681,21:8832731:-_LeftNegative,-,IN,Left
33,21,8832780,8832781,21:8832731:-_RightNegative,-,IN,Right
34,21,8833145,8833146,21:8833196:-_LeftNegative,-,IN,Left
35,21,8833245,8833246,21:8833196:-_RightNegative,-,IN,Right
36,21,8835826,8835838,21:8835877:-_LeftNegative,-,IN,Left
37,21,8835926,8835938,21:8835877:-_RightNegative,-,IN,Right
38,21,9076978,9076985,21:9077029:-_LeftNegative,-,IN,Left
39,21,9077078,9077085,21:9077029:-_RightNegative,-,IN,Right
40,21,9077348,9077351,21:9077399:-_LeftNegative,-,IN,Left
41,21,9077448,9077451,21:9077399:-_RightNegative,-,IN,Right
42,21,9079659,9079681,21:9079716:-_LeftNegative,-,IN,Left
43,21,9079759,9079781,21:9079716:-_RightNegative,-,IN,Right
44,21,9348423,9348434,21:9348484:+_LeftNegative,+,IN,Left
45,21,9348523,9348534,21:9348484:+_RightNegative,+,IN,Right
46,21,9793754,9793765,21:9793805:-_LeftNegative,-,IN,Left
47,21,9793854,9793865,21:9793805:-_RightNegative,-,IN,Right
48,21,9795799,9795819,21:9795850:-_LeftNegative,-,IN,Left
49,21,9795899,9795919,21:9795850:-_RightNegative,-,IN,Right
