,seqName,start,end,clusterID,strand,type,side
0,21,5089187,5089188,21:5089138:-_RightNegative,-,IN,Right
1,21,5104407,5104415,21:5104358:-_RightNegative,-,IN,Right
2,21,5125678,5125694,21:5125743:-_LeftNegative,-,IN,Left
3,21,5161924,5161937,21:5161975:-_LeftNegative,-,IN,Left
4,21,5233385,5233391,21:5233336:-_RightNegative,-,IN,Right
5,21,5233585,5233592,21:5233636:-_LeftNegative,-,IN,Left
6,21,5234241,5234242,21:5234192:-_RightNegative,-,IN,Right
7,21,5240637,5240638,21:5240688:-_LeftNegative,-,IN,Left
8,21,5240786,5240787,21:5240737:-_RightNegative,-,IN,Right
9,21,5242841,5242843,21:5242892:-_LeftNegative,-,IN,Left
10,21,5243290,5243291,21:5243241:-_RightNegative,-,IN,Right
11,21,6330001,6330005,21:6329953:+_RightNegative,+,IN,Right
12,21,6486527,6486528,21:6486478:-_RightNegative,-,IN,Right
13,21,6654858,6654868,21:6654809:-_RightNegative,-,IN,Right
14,21,8420243,8420259,21:8420198:+_RightNegative,+,IN,Right
15,21,8777755,8777756,21:8777806:-_LeftNegative,-,IN,Left
16,21,8787280,8787281,21:8787331:-_LeftNegative,-,IN,Left
17,21,8832680,8832681,21:8832731:-_LeftNegative,-,IN,Left
18,21,8833145,8833146,21:8833196:-_LeftNegative,-,IN,Left
19,21,8835826,8835838,21:8835877:-_LeftNegative,-,IN,Left
20,21,9077078,9077085,21:9077029:-_RightNegative,-,IN,Right
21,21,9077348,9077351,21:9077399:-_LeftNegative,-,IN,Left
22,21,9079759,9079781,21:9079716:-_RightNegative,-,IN,Right
23,21,9348423,9348434,21:9348484:+_LeftNegative,+,IN,Left
24,21,9793754,9793765,21:9793805:-_LeftNegative,-,IN,Left
25,21,9795799,9795819,21:9795850:-_LeftNegative,-,IN,Left
26,21,9795997,9796028,21:9795976:-_RightNegative,-,IN,Right
27,21,9807562,9807568,21:9807613:-_LeftNegative,-,IN,Left
28,21,9996117,9996142,21:9996068:-_RightNegative,-,IN,Right
29,21,10014896,10014903,21:10014848:-_RightNegative,-,IN,Right
30,21,10015016,10015040,21:10014973:-_RightNegative,-,IN,Right
31,21,10331988,10331989,21:10332039:-_LeftNegative,-,IN,Left
32,21,10332063,10332064,21:10332114:-_LeftNegative,-,IN,Left
33,21,10519815,10519816,21:10519866:+_LeftNegative,+,IN,Left
34,21,10551395,10551396,21:10551446:+_LeftNegative,+,IN,Left
35,21,10560042,10560043,21:10559993:+_RightNegative,+,IN,Right
36,21,10583314,10583315,21:10583365:+_LeftNegative,+,IN,Left
37,21,10602366,10602367,21:10602417:+_LeftNegative,+,IN,Left
38,21,13039575,13039576,21:13039526:+_RightNegative,+,IN,Right
39,21,13061300,13061301,21:13061351:+_LeftNegative,+,IN,Left
40,21,13469743,13469744,21:13469794:-_LeftNegative,-,IN,Left
41,21,13477648,13477649,21:13477699:-_LeftNegative,-,IN,Left
42,21,13913231,13913232,21:13913182:-_RightNegative,-,IN,Right
43,21,13926359,13926360,21:13926310:-_RightNegative,-,IN,Right
44,21,13932436,13932437,21:13932487:-_LeftNegative,-,IN,Left
45,21,13976798,13976808,21:13976749:-_RightNegative,-,IN,Right
46,21,14028027,14028029,21:14027978:+_RightNegative,+,IN,Right
47,21,14042849,14042850,21:14042900:+_LeftNegative,+,IN,Left
48,21,14044186,14044214,21:14044164:+_RightNegative,+,IN,Right
49,21,14045595,14045596,21:14045546:+_RightNegative,+,IN,Right
50,21,14045664,14045665,21:14045715:+_LeftNegative,+,IN,Left
51,21,14046925,14046926,21:14046976:+_LeftNegative,+,IN,Left
52,21,14048504,14048512,21:14048562:+_LeftNegative,+,IN,Left
53,21,14049230,14049244,21:14049194:+_RightNegative,+,IN,Right
54,21,14050756,14050757,21:14050807:+_LeftNegative,+,IN,Left
55,21,14052278,14052279,21:14052329:+_LeftNegative,+,IN,Left
56,21,14057526,14057527,21:14057577:+_LeftNegative,+,IN,Left
57,21,14066938,14066939,21:14066889:+_RightNegative,+,IN,Right
58,21,14067057,14067063,21:14067113:+_LeftNegative,+,IN,Left
59,21,14067469,14067480,21:14067529:+_LeftNegative,+,IN,Left
60,21,14069328,14069330,21:14069280:+_RightNegative,+,IN,Right
61,21,14069757,14069758,21:14069708:+_RightNegative,+,IN,Right
62,21,14076969,14076970,21:14077020:+_LeftNegative,+,IN,Left
63,21,14077091,14077104,21:14077054:+_RightNegative,+,IN,Right
64,21,14089562,14089569,21:14089617:+_LeftNegative,+,IN,Left
65,21,14091020,14091029,21:14091077:+_LeftNegative,+,IN,Left
66,21,14100501,14100509,21:14100552:+_LeftNegative,+,IN,Left
67,21,14103857,14103858,21:14103908:+_LeftNegative,+,IN,Left
68,21,14105020,14105026,21:14105071:+_LeftNegative,+,IN,Left
69,21,14105829,14105830,21:14105880:+_LeftNegative,+,IN,Left
70,21,14107769,14107770,21:14107820:+_LeftNegative,+,IN,Left
71,21,14109353,14109354,21:14109304:-_RightNegative,-,IN,Right
72,21,14110105,14110111,21:14110161:+_LeftNegative,+,IN,Left
73,21,14110895,14110896,21:14110946:+_LeftNegative,+,IN,Left
74,21,14111852,14111853,21:14111803:+_RightNegative,+,IN,Right
75,21,14112368,14112373,21:14112419:+_LeftNegative,+,IN,Left
76,21,14112763,14112789,21:14112839:+_LeftNegative,+,IN,Left
77,21,14115356,14115382,21:14115326:+_RightNegative,+,IN,Right
78,21,14115526,14115548,21:14115491:+_RightNegative,+,IN,Right
79,21,14124649,14124679,21:14124619:+_RightNegative,+,IN,Right
80,21,14124724,14124725,21:14124775:+_LeftNegative,+,IN,Left
81,21,14125163,14125164,21:14125214:-_LeftNegative,-,IN,Left
82,21,14127723,14127733,21:14127676:+_RightNegative,+,IN,Right
83,21,14128175,14128176,21:14128226:+_LeftNegative,+,IN,Left
84,21,14141120,14141123,21:14141071:+_RightNegative,+,IN,Right
85,21,14176670,14176671,21:14176721:-_LeftNegative,-,IN,Left
86,21,14285972,14285973,21:14286023:+_LeftNegative,+,IN,Left
87,21,14314505,14314519,21:14314469:+_RightNegative,+,IN,Right
88,21,14487370,14487373,21:14487323:-_RightNegative,-,IN,Right
89,21,14491317,14491318,21:14491268:-_RightNegative,-,IN,Right
90,21,14492180,14492181,21:14492231:-_LeftNegative,-,IN,Left
91,21,14493664,14493672,21:14493620:-_RightNegative,-,IN,Right
92,21,14512577,14512579,21:14512629:-_LeftNegative,-,IN,Left
93,21,14513216,14513217,21:14513167:-_RightNegative,-,IN,Right
94,21,14515233,14515284,21:14515284:-_LeftNegative,-,IN,Left
95,21,14515763,14515764,21:14515714:-_RightNegative,-,IN,Right
