,seqName,start,end,clusterID,strand,type,side
0,Y,2786835,2786837,Y:2786856:-_LeftNegative,-,TE,Left
1,Y,2786875,2786877,Y:2786856:-_RightNegative,-,TE,Right
2,Y,2808503,2808504,Y:2808524:-_LeftNegative,-,IG,Left
3,Y,2808543,2808544,Y:2808524:-_RightNegative,-,IG,Right
4,Y,2833770,2833771,Y:2833791:-_LeftNegative,-,IN,Left
5,Y,2833810,2833811,Y:2833791:-_RightNegative,-,IN,Right
6,Y,2834912,2834914,Y:2834933:-_LeftNegative,-,IN,Left
7,Y,2834952,2834954,Y:2834933:-_RightNegative,-,IN,Right
8,Y,2844146,2844156,Y:2844176:+_LeftNegative,+,EX,Left
9,Y,2844186,2844196,Y:2844176:+_RightNegative,+,EX,Right
10,Y,2845121,2845122,Y:2845142:-_LeftNegative,-,AI,Left
11,Y,2845161,2845162,Y:2845142:-_RightNegative,-,AI,Right
12,Y,2854588,2854591,Y:2854610:+_LeftNegative,+,EX,Left
13,Y,2854628,2854631,Y:2854610:+_RightNegative,+,EX,Right
14,Y,2865122,2865134,Y:2865150:+_LeftNegative,+,EX,Left
15,Y,2865162,2865174,Y:2865150:+_RightNegative,+,EX,Right
16,Y,2865219,2865244,Y:2865222:+_RightNegative,+,EX,Right
17,Y,2865292,2865296,Y:2865316:+_LeftNegative,+,IN,Left
18,Y,2865332,2865336,Y:2865316:+_RightNegative,+,IN,Right
19,Y,2866795,2866828,Y:2866824:+_LeftNegative,+,TE,Left
20,Y,2866868,2866913,Y:2866913:-_LeftNegative,-,AE,Left
21,Y,2866908,2866953,Y:2866913:-_RightNegative,-,AE,Right
22,Y,2866941,2866987,Y:2866947:+_RightNegative,+,TE,Right
23,Y,2867044,2867084,Y:2867086:+_LeftNegative,+,TE,Left
24,Y,2867084,2867124,Y:2867086:+_RightNegative,+,TE,Right
25,Y,2867145,2867147,Y:2867167:+_LeftNegative,+,TE,Left
26,Y,2867185,2867187,Y:2867167:+_RightNegative,+,TE,Right
27,Y,2867239,2867252,Y:2867265:+_LeftNegative,+,TE,Left
28,Y,2867279,2867292,Y:2867265:+_RightNegative,+,TE,Right
29,Y,2879741,2879742,Y:2879762:-_LeftNegative,-,AI,Left
30,Y,2879781,2879782,Y:2879762:-_RightNegative,-,AI,Right
31,Y,2880822,2880826,Y:2880844:+_LeftNegative,+,IN,Left
32,Y,2880862,2880866,Y:2880844:+_RightNegative,+,IN,Right
33,Y,2912056,2912057,Y:2912077:-_LeftNegative,-,AI,Left
34,Y,2912096,2912097,Y:2912077:-_RightNegative,-,AI,Right
35,Y,2921861,2921862,Y:2921882:-_LeftNegative,-,AI,Left
36,Y,2921901,2921902,Y:2921882:-_RightNegative,-,AI,Right
37,Y,2925075,2925076,Y:2925096:+_LeftNegative,+,IN,Left
38,Y,2925115,2925116,Y:2925096:+_RightNegative,+,IN,Right
39,Y,2934389,2934398,Y:2934411:-_LeftNegative,-,TE,Left
40,Y,2934429,2934438,Y:2934411:-_RightNegative,-,TE,Right
41,Y,2934491,2934529,Y:2934525:-_LeftNegative,-,TE,Left
42,Y,2934531,2934569,Y:2934525:-_RightNegative,-,TE,Right
43,Y,2954732,2954733,Y:2954753:+_LeftNegative,+,IN,Left
44,Y,2954772,2954773,Y:2954753:+_RightNegative,+,IN,Right
45,Y,2962734,2962746,Y:2962758:+_LeftNegative,+,IN,Left
46,Y,2962774,2962786,Y:2962758:+_RightNegative,+,IN,Right
47,Y,2962887,2962893,Y:2962908:+_LeftNegative,+,IN,Left
48,Y,2962927,2962933,Y:2962908:+_RightNegative,+,IN,Right
49,Y,2963944,2963947,Y:2963966:+_LeftNegative,+,IN,Left
50,Y,2963984,2963987,Y:2963966:+_RightNegative,+,IN,Right
51,Y,2966028,2966030,Y:2966049:-_LeftNegative,-,DS,Left
52,Y,2966068,2966070,Y:2966049:-_RightNegative,-,DS,Right
53,Y,2966538,2966539,Y:2966559:+_LeftNegative,+,IN,Left
54,Y,2966578,2966579,Y:2966559:+_RightNegative,+,IN,Right
55,Y,2966540,2966565,Y:2966580:-_LeftNegative,-,DS,Left
56,Y,2966580,2966605,Y:2966580:-_RightNegative,-,DS,Right
57,Y,2966655,2966682,Y:2966676:-_LeftNegative,-,DS,Left
58,Y,2966695,2966722,Y:2966676:-_RightNegative,-,DS,Right
59,Y,2966828,2966830,Y:2966850:-_LeftNegative,-,TE,Left
60,Y,2966868,2966870,Y:2966850:-_RightNegative,-,TE,Right
61,Y,2970217,2970219,Y:2970239:+_LeftNegative,+,IN,Left
