,seqName,start,end,clusterID,strand,type,side
0,Y,2786805,2786807,Y:2786856:-_LeftNegative,-,TE,Left
1,Y,2808573,2808574,Y:2808524:-_RightNegative,-,IG,Right
2,Y,2833840,2833841,Y:2833791:-_RightNegative,-,IN,Right
3,Y,2834882,2834884,Y:2834933:-_LeftNegative,-,IN,Left
4,Y,2844216,2844226,Y:2844176:+_RightNegative,+,EX,Right
5,Y,2845091,2845092,Y:2845142:-_LeftNegative,-,AI,Left
6,Y,2854558,2854561,Y:2854610:+_LeftNegative,+,EX,Left
7,Y,2865092,2865104,Y:2865150:+_LeftNegative,+,EX,Left
8,Y,2865249,2865274,Y:2865222:+_RightNegative,+,EX,Right
9,Y,2865362,2865366,Y:2865316:+_RightNegative,+,IN,Right
10,Y,2866765,2866798,Y:2866824:+_LeftNegative,+,TE,Left
11,Y,2866938,2866983,Y:2866913:-_RightNegative,-,AE,Right
12,Y,2866971,2867017,Y:2866947:+_RightNegative,+,TE,Right
13,Y,2867014,2867054,Y:2867086:+_LeftNegative,+,TE,Left
14,Y,2867115,2867117,Y:2867167:+_LeftNegative,+,TE,Left
15,Y,2867309,2867322,Y:2867265:+_RightNegative,+,TE,Right
16,Y,2879811,2879812,Y:2879762:-_RightNegative,-,AI,Right
17,Y,2880892,2880896,Y:2880844:+_RightNegative,+,IN,Right
18,Y,2912126,2912127,Y:2912077:-_RightNegative,-,AI,Right
19,Y,2921831,2921832,Y:2921882:-_LeftNegative,-,AI,Left
20,Y,2925145,2925146,Y:2925096:+_RightNegative,+,IN,Right
21,Y,2934359,2934368,Y:2934411:-_LeftNegative,-,TE,Left
22,Y,2934461,2934499,Y:2934525:-_LeftNegative,-,TE,Left
23,Y,2954702,2954703,Y:2954753:+_LeftNegative,+,IN,Left
24,Y,2962704,2962716,Y:2962758:+_LeftNegative,+,IN,Left
25,Y,2962857,2962863,Y:2962908:+_LeftNegative,+,IN,Left
26,Y,2964014,2964017,Y:2963966:+_RightNegative,+,IN,Right
27,Y,2966098,2966100,Y:2966049:-_RightNegative,-,DS,Right
28,Y,2966608,2966609,Y:2966559:+_RightNegative,+,IN,Right
29,Y,2966610,2966635,Y:2966580:-_RightNegative,-,DS,Right
30,Y,2966725,2966752,Y:2966676:-_RightNegative,-,DS,Right
31,Y,2966898,2966900,Y:2966850:-_RightNegative,-,TE,Right
32,Y,2970287,2970289,Y:2970239:+_RightNegative,+,IN,Right
33,Y,2970519,2970520,Y:2970570:-_LeftNegative,-,IN,Left
34,Y,2974011,2974012,Y:2973962:-_RightNegative,-,IN,Right
35,Y,2977270,2977271,Y:2977221:-_RightNegative,-,IN,Right
36,Y,2979157,2979159,Y:2979108:+_RightNegative,+,TE,Right
37,Y,2980185,2980193,Y:2980243:+_LeftNegative,+,TE,Left
38,Y,2982407,2982414,Y:2982458:-_LeftNegative,-,IN,Left
39,Y,2982426,2982466,Y:2982505:+_LeftNegative,+,TE,Left
40,Y,2982613,2982629,Y:2982579:+_RightNegative,+,DS,Right
41,Y,2984848,2984849,Y:2984899:+_LeftNegative,+,AI,Left
42,Y,2991642,2991643,Y:2991693:-_LeftNegative,-,IN,Left
43,Y,2994790,2994791,Y:2994741:-_RightNegative,-,IN,Right
44,Y,3005102,3005104,Y:3005054:+_RightNegative,+,IN,Right
45,Y,3021903,3021904,Y:3021954:+_LeftNegative,+,IN,Left
46,Y,3024116,3024117,Y:3024067:-_RightNegative,-,AI,Right
47,Y,3073485,3073487,Y:3073537:+_LeftNegative,+,IN,Left
48,Y,3075539,3075541,Y:3075591:+_LeftNegative,+,IN,Left
49,Y,3117333,3117334,Y:3117284:+_RightNegative,+,IN,Right
50,Y,3119136,3119139,Y:3119188:+_LeftNegative,+,IN,Left
51,Y,3120211,3120216,Y:3120266:+_LeftNegative,+,IN,Left
52,Y,3131531,3131533,Y:3131482:+_RightNegative,+,IN,Right
53,Y,3141252,3141275,Y:3141223:+_RightNegative,+,IN,Right
54,Y,3181612,3181613,Y:3181663:-_LeftNegative,-,AI,Left
55,Y,3218593,3218594,Y:3218544:-_RightNegative,-,IG,Right
56,Y,3279957,3279958,Y:3279908:+_RightNegative,+,IG,Right
57,Y,3343606,3343607,Y:3343557:+_RightNegative,+,IG,Right
58,Y,3358605,3358606,Y:3358656:+_LeftNegative,+,IG,Left
59,Y,3374083,3374084,Y:3374134:-_LeftNegative,-,IG,Left
60,Y,3385026,3385027,Y:3385077:-_LeftNegative,-,IG,Left
61,Y,3499176,3499177,Y:3499127:-_RightNegative,-,IG,Right
62,Y,3579985,3579989,Y:3580039:+_LeftNegative,+,TE,Left
63,Y,3606567,3606568,Y:3606518:+_RightNegative,+,IG,Right
64,Y,3610363,3610364,Y:3610314:-_RightNegative,-,IG,Right
65,Y,3654698,3654699,Y:3654649:+_RightNegative,+,IG,Right
66,Y,3668025,3668027,Y:3667977:+_RightNegative,+,IG,Right
67,Y,3677306,3677307,Y:3677357:-_LeftNegative,-,IG,Left
68,Y,3727355,3727356,Y:3727306:+_RightNegative,+,IG,Right
69,Y,3811727,3811728,Y:3811678:+_RightNegative,+,IN,Right
70,Y,3848962,3848965,Y:3849013:-_LeftNegative,-,AI,Left
71,Y,3863922,3863934,Y:3863873:+_RightNegative,+,EX,Right
72,Y,3915653,3915654,Y:3915704:+_LeftNegative,+,IG,Left
73,Y,4031362,4031363,Y:4031413:-_LeftNegative,-,IG,Left
74,Y,4032202,4032203,Y:4032153:-_RightNegative,-,IG,Right
75,Y,4040678,4040679,Y:4040729:-_LeftNegative,-,AI,Left
76,Y,4102503,4102504,Y:4102454:+_RightNegative,+,IG,Right
77,Y,4118206,4118208,Y:4118158:+_RightNegative,+,IG,Right
78,Y,4121157,4121166,Y:4121116:+_RightNegative,+,IG,Right
