,seqName,start,end,clusterID,strand,type,side
0,Y,2786805,2786807,Y:2786856:-_LeftNegative,-,TE,Left
1,Y,2786905,2786907,Y:2786856:-_RightNegative,-,TE,Right
2,Y,2808473,2808474,Y:2808524:-_LeftNegative,-,IG,Left
3,Y,2808573,2808574,Y:2808524:-_RightNegative,-,IG,Right
4,Y,2833740,2833741,Y:2833791:-_LeftNegative,-,IN,Left
5,Y,2833840,2833841,Y:2833791:-_RightNegative,-,IN,Right
6,Y,2834882,2834884,Y:2834933:-_LeftNegative,-,IN,Left
7,Y,2834982,2834984,Y:2834933:-_RightNegative,-,IN,Right
8,Y,2844116,2844126,Y:2844176:+_LeftNegative,+,EX,Left
9,Y,2844216,2844226,Y:2844176:+_RightNegative,+,EX,Right
10,Y,2845091,2845092,Y:2845142:-_LeftNegative,-,AI,Left
11,Y,2845191,2845192,Y:2845142:-_RightNegative,-,AI,Right
12,Y,2854558,2854561,Y:2854610:+_LeftNegative,+,EX,Left
13,Y,2854658,2854661,Y:2854610:+_RightNegative,+,EX,Right
14,Y,2865092,2865104,Y:2865150:+_LeftNegative,+,EX,Left
15,Y,2865262,2865266,Y:2865316:+_LeftNegative,+,IN,Left
16,Y,2865362,2865366,Y:2865316:+_RightNegative,+,IN,Right
17,Y,2866765,2866798,Y:2866824:+_LeftNegative,+,TE,Left
18,Y,2866838,2866883,Y:2866913:-_LeftNegative,-,AE,Left
19,Y,2866938,2866983,Y:2866913:-_RightNegative,-,AE,Right
20,Y,2867115,2867117,Y:2867167:+_LeftNegative,+,TE,Left
21,Y,2867215,2867217,Y:2867167:+_RightNegative,+,TE,Right
22,Y,2867309,2867322,Y:2867265:+_RightNegative,+,TE,Right
23,Y,2879711,2879712,Y:2879762:-_LeftNegative,-,AI,Left
24,Y,2879811,2879812,Y:2879762:-_RightNegative,-,AI,Right
25,Y,2880792,2880796,Y:2880844:+_LeftNegative,+,IN,Left
26,Y,2880892,2880896,Y:2880844:+_RightNegative,+,IN,Right
27,Y,2912026,2912027,Y:2912077:-_LeftNegative,-,AI,Left
28,Y,2912126,2912127,Y:2912077:-_RightNegative,-,AI,Right
29,Y,2921831,2921832,Y:2921882:-_LeftNegative,-,AI,Left
30,Y,2921931,2921932,Y:2921882:-_RightNegative,-,AI,Right
31,Y,2925045,2925046,Y:2925096:+_LeftNegative,+,IN,Left
32,Y,2925145,2925146,Y:2925096:+_RightNegative,+,IN,Right
33,Y,2934359,2934368,Y:2934411:-_LeftNegative,-,TE,Left
34,Y,2934459,2934468,Y:2934411:-_RightNegative,-,TE,Right
35,Y,2934561,2934599,Y:2934525:-_RightNegative,-,TE,Right
36,Y,2954702,2954703,Y:2954753:+_LeftNegative,+,IN,Left
37,Y,2954802,2954803,Y:2954753:+_RightNegative,+,IN,Right
38,Y,2962704,2962716,Y:2962758:+_LeftNegative,+,IN,Left
39,Y,2962804,2962816,Y:2962758:+_RightNegative,+,IN,Right
40,Y,2962857,2962863,Y:2962908:+_LeftNegative,+,IN,Left
41,Y,2962957,2962963,Y:2962908:+_RightNegative,+,IN,Right
42,Y,2963914,2963917,Y:2963966:+_LeftNegative,+,IN,Left
43,Y,2964014,2964017,Y:2963966:+_RightNegative,+,IN,Right
44,Y,2965998,2966000,Y:2966049:-_LeftNegative,-,DS,Left
45,Y,2966098,2966100,Y:2966049:-_RightNegative,-,DS,Right
46,Y,2966508,2966509,Y:2966559:+_LeftNegative,+,IN,Left
47,Y,2966608,2966609,Y:2966559:+_RightNegative,+,IN,Right
48,Y,2966510,2966535,Y:2966580:-_LeftNegative,-,DS,Left
49,Y,2966798,2966800,Y:2966850:-_LeftNegative,-,TE,Left
50,Y,2966898,2966900,Y:2966850:-_RightNegative,-,TE,Right
51,Y,2970187,2970189,Y:2970239:+_LeftNegative,+,IN,Left
52,Y,2970287,2970289,Y:2970239:+_RightNegative,+,IN,Right
53,Y,2970519,2970520,Y:2970570:-_LeftNegative,-,IN,Left
54,Y,2970619,2970620,Y:2970570:-_RightNegative,-,IN,Right
55,Y,2973911,2973912,Y:2973962:-_LeftNegative,-,IN,Left
56,Y,2974011,2974012,Y:2973962:-_RightNegative,-,IN,Right
57,Y,2977170,2977171,Y:2977221:-_LeftNegative,-,IN,Left
58,Y,2977270,2977271,Y:2977221:-_RightNegative,-,IN,Right
59,Y,2979057,2979059,Y:2979108:+_LeftNegative,+,TE,Left
60,Y,2979157,2979159,Y:2979108:+_RightNegative,+,TE,Right
61,Y,2980185,2980193,Y:2980243:+_LeftNegative,+,TE,Left
62,Y,2980285,2980293,Y:2980243:+_RightNegative,+,TE,Right
63,Y,2982407,2982414,Y:2982458:-_LeftNegative,-,IN,Left
64,Y,2982507,2982514,Y:2982458:-_RightNegative,-,IN,Right
65,Y,2982426,2982466,Y:2982505:+_LeftNegative,+,TE,Left
66,Y,2982613,2982629,Y:2982579:+_RightNegative,+,DS,Right
67,Y,2984848,2984849,Y:2984899:+_LeftNegative,+,AI,Left
68,Y,2984948,2984949,Y:2984899:+_RightNegative,+,AI,Right
69,Y,2991642,2991643,Y:2991693:-_LeftNegative,-,IN,Left
70,Y,2991742,2991743,Y:2991693:-_RightNegative,-,IN,Right
