,seqName,start,end,clusterID,strand,type,side
0,8,205265,205266,8:205191:-_RightNegative,-,IG,Right
1,8,208194,208207,8:208282:-_LeftNegative,-,IG,Left
2,8,209069,209071,8:209146:-_LeftNegative,-,IG,Left
3,8,209261,209272,8:209187:-_RightNegative,-,IG,Right
4,8,211622,211640,8:211548:-_RightNegative,-,IG,Right
5,8,211664,211675,8:211749:-_LeftNegative,-,IG,Left
6,8,212864,212882,8:212940:-_LeftNegative,-,DS,Left
7,8,213072,213093,8:213018:-_RightNegative,-,DS,Right
8,8,213211,213276,8:213178:-_RightNegative,-,TE,Right
9,8,214163,214164,8:214239:-_LeftNegative,-,IN,Left
10,8,219337,219341,8:219415:-_LeftNegative,-,EX,Left
11,8,229899,229952,8:230008:-_LeftNegative,-,TE,Left
12,8,230427,230432,8:230503:-_LeftNegative,-,IN,Left
13,8,231555,231564,8:231481:-_RightNegative,-,IN,Right
14,8,233480,233507,8:233575:+_LeftNegative,+,TE,Left
15,8,234270,234275,8:234349:-_LeftNegative,-,TE,Left
16,8,235645,235654,8:235571:+_RightNegative,+,IN,Right
17,8,237270,237271,8:237196:+_RightNegative,+,TE,Right
18,8,237528,237547,8:237618:+_LeftNegative,+,TE,Left
19,8,237733,237761,8:237667:+_RightNegative,+,TE,Right
20,8,238672,238673,8:238598:+_RightNegative,+,IN,Right
21,8,245194,245216,8:245290:+_LeftNegative,+,TE,Left
22,8,245217,245218,8:245293:-_LeftNegative,-,AE,Left
23,8,245413,245434,8:245355:+_RightNegative,+,TE,Right
24,8,246333,246334,8:246409:+_LeftNegative,+,TE,Left
25,8,246545,246579,8:246647:+_LeftNegative,+,TE,Left
26,8,246797,246820,8:246731:+_RightNegative,+,TE,Right
27,8,247137,247168,8:247238:+_LeftNegative,+,TE,Left
28,8,252527,252528,8:252453:+_RightNegative,+,IN,Right
29,8,253694,253695,8:253620:+_RightNegative,+,IN,Right
30,8,254922,254924,8:254848:+_RightNegative,+,IN,Right
31,8,265035,265053,8:265112:+_LeftNegative,+,DS,Left
32,8,267689,267714,8:267769:-_LeftNegative,-,IG,Left
33,8,269422,269423,8:269348:+_RightNegative,+,IG,Right
34,8,269356,269363,8:269433:-_LeftNegative,-,IG,Left
35,8,272864,272868,8:272790:-_RightNegative,-,IG,Right
36,8,273262,273263,8:273188:-_RightNegative,-,IG,Right
37,8,273722,273740,8:273815:-_LeftNegative,-,IG,Left
38,8,273941,273944,8:274017:-_LeftNegative,-,IG,Left
39,8,274114,274118,8:274040:-_RightNegative,-,IG,Right
40,8,300366,300373,8:300292:-_RightNegative,-,IG,Right
41,8,303180,303190,8:303106:-_RightNegative,-,IG,Right
42,8,344003,344004,8:344079:-_LeftNegative,-,IG,Left
43,8,348466,348468,8:348392:-_RightNegative,-,IG,Right
44,8,355335,355336,8:355261:-_RightNegative,-,IG,Right
45,8,363862,363864,8:363788:+_RightNegative,+,IG,Right
46,8,375990,376018,8:375934:-_RightNegative,-,TE,Right
47,8,405565,405586,8:405656:-_LeftNegative,-,AU,Left
48,8,413480,413481,8:413406:-_RightNegative,-,AI,Right
49,8,431270,431279,8:431346:+_LeftNegative,+,EX,Left
50,8,431434,431482,8:431407:+_RightNegative,+,EX,Right
51,8,432819,432822,8:432896:+_LeftNegative,+,EX,Left
52,8,433000,433003,8:432928:+_RightNegative,+,EX,Right
53,8,432956,432957,8:433032:+_LeftNegative,+,IN,Left
54,8,443043,443047,8:443119:-_LeftNegative,-,AI,Left
55,8,450055,450081,8:449989:+_RightNegative,+,EX,Right
56,8,450637,450669,8:450723:-_LeftNegative,-,TE,Left
57,8,451815,451817,8:451891:+_LeftNegative,+,IN,Left
58,8,451838,451840,8:451914:-_LeftNegative,-,AI,Left
59,8,452054,452064,8:451981:-_RightNegative,-,AI,Right
60,8,452096,452109,8:452172:-_LeftNegative,-,AI,Left
61,8,452410,452412,8:452337:+_RightNegative,+,IN,Right
62,8,455796,455798,8:455873:-_LeftNegative,-,AI,Left
63,8,456226,456227,8:456152:-_RightNegative,-,AI,Right
64,8,456517,456541,8:456462:-_RightNegative,-,AI,Right
65,8,463105,463126,8:463031:+_RightNegative,+,EX,Right
66,8,464807,464808,8:464883:+_LeftNegative,+,IN,Left
67,8,468914,468938,8:469013:+_LeftNegative,+,TE,Left
68,8,469173,469180,8:469099:+_RightNegative,+,TE,Right
69,8,469292,469345,8:469270:+_RightNegative,+,TE,Right
70,8,469631,469672,8:469571:+_RightNegative,+,TE,Right
71,8,469815,469816,8:469891:+_LeftNegative,+,TE,Left
72,8,470034,470064,8:470124:-_LeftNegative,-,AE,Left
73,8,470252,470253,8:470178:-_RightNegative,-,AE,Right
74,8,470736,470751,8:470812:-_LeftNegative,-,AE,Left
75,8,471247,471252,8:471323:-_LeftNegative,-,AE,Left
